,k,r,c,a SSE Action,b SSE Action,SSEAction,R2_SSE_Action,a RMSE Action,b RMSE Action,RMSE_Action,R2_RMSE_Action,a 1-corr Action,b 1-corr Action,One_minus_corr_Action,R2_1-corr_Action,a SSE External,b SSE External,SSEExternal,R2_SSE_External,a RMSE External,b RMSE External,RMSE_External,R2_RMSE_External,a 1-corr External,b 1-corr External,One_minus_corr_External,R2_1-corr_External
0,1,-4.0,0.0,0.0010432716999364486,0.36271409309208885,0.002692263947625957,0.37675356417543987,4.0,375.0,1.0116094450045106,0.37675356417544015,4.0,375.0,0.38619745505949543,0.37675356417544015,0.0010432716999364486,0.3529148998772823,0.0006329456235212455,0.576957266379342,4.0,375.0,0.7412937985867912,0.5769572663793422,4.0,375.0,0.24042296876528568,0.5769572663793422
1,1,-4.0,3.333333333333333e-05,0.0011968665498806109,0.36212274073162226,0.0027435776986592763,0.3648746722518146,4.0,375.0,1.0225802271853872,0.3648746722518147,4.0,375.0,0.3959514322077945,0.3648746722518147,0.0011968665498806109,0.35235476664570153,0.0006374259613923877,0.5739627367936598,4.0,375.0,0.7430842245269005,0.5739627367936602,4.0,375.0,0.2423967154284109,0.5739627367936602
2,1,-4.0,6.666666666666666e-05,0.0013358799349583574,0.36157675688164204,0.0027787615767857618,0.3567297700136312,4.0,375.0,1.0301371734739564,0.3567297700136318,4.0,375.0,0.4027314088170785,0.3567297700136318,0.0013358799349583574,0.35185461969297316,0.0006403942229916852,0.5719788357095615,4.0,375.0,0.7442705908953027,0.5719788357095617,4.0,375.0,0.24370717594997526,0.5719788357095617
3,1,-4.0,9.999999999999999e-05,0.0014656873082110851,0.3610555362396334,0.0028042152237826587,0.3508373704997853,4.0,375.0,1.035623282928136,0.3508373704997853,4.0,375.0,0.407684737238871,0.3508373704997853,0.0014656873082110851,0.35139031973665097,0.0006424393222340472,0.5706119499204014,4.0,375.0,0.7450880802757637,0.5706119499204008,4.0,375.0,0.24461139145443767,0.5706119499204008
4,1,-4.0,0.0001333333333333333,0.0015890850356974557,0.3605485250221483,0.002822609735825948,0.3465791275124571,4.0,375.0,1.0395984387443256,0.34657912751245645,4.0,375.0,0.41129028586878524,0.34657912751245645,0.0015890850356974557,0.3509500326484085,0.0006436630467380016,0.5697940474917524,4.0,375.0,0.7455772798725994,0.5697940474917519,4.0,375.0,0.24515296417634913,0.5697940474917519
5,1,-4.0,0.00016666666666666663,0.0017077821155890704,0.36004980850056006,0.002835534368301705,0.34358713590785617,4.0,375.0,1.0423970144310672,0.3435871359078559,4.0,375.0,0.4138369374415888,0.3435871359078559,0.0017077821155890704,0.35052693751492386,0.0006441322774731936,0.5694804270986435,4.0,375.0,0.7457648688404263,0.5694804270986439,4.0,375.0,0.24536073048201124,0.5694804270986439
6,1,-4.0,0.00019999999999999998,0.0018229116589460808,0.3595559007707828,0.0028440921731102357,0.3416060443611097,4.0,375.0,1.0442526011650008,0.34160604436111,4.0,375.0,0.41552926133029555,0.34160604436111,0.0018229116589460808,0.3501167395358851,0.000643921788897189,0.5696211116338855,4.0,375.0,0.7456807192127848,0.5696211116338852,4.0,375.0,0.2452675231355912,0.5696211116338852
7,1,-4.0,0.0002333333333333333,0.0019352624192380723,0.35906473137809786,0.0028491026361886643,0.34044614573627596,4.0,375.0,1.0453399830011425,0.34044614573627596,4.0,375.0,0.4165223691209097,0.34044614573627596,0.0019352624192380723,0.34971662232852085,0.0006431100206009884,0.5701636743274658,4.0,375.0,0.7453561968813123,0.5701636743274651,4.0,375.0,0.24490816828185402,0.5701636743274651
8,1,-4.0,0.0002666666666666666,0.0020454029927775234,0.3585749150419385,0.002851196044533081,0.3399615315526498,4.0,375.0,1.0457945123025527,0.3399615315526502,4.0,375.0,0.41693779787002994,0.3399615315526502,0.0020454029927775234,0.3493245226177772,0.000641772831881749,0.5710574129780336,4.0,375.0,0.7448216546212426,0.5710574129780335,4.0,375.0,0.24431659209822976,0.5710574129780335
9,1,-4.0,0.0003,0.0021537524692132526,0.35808572031851904,0.002850867557390212,0.3400375747795061,4.0,375.0,1.0457231814967358,0.34003757477950597,4.0,375.0,0.4168725912980029,0.34003757477950597,0.0021537524692132526,0.34893909864625555,0.0006399800324048824,0.5722556688183036,4.0,375.0,0.7441050358448131,0.5722556688183036,4.0,375.0,0.24352417829893358,0.5722556688183036
