,ID,k,r,c,a SSE Action,b SSE Action,SSEAction,R2_SSE_Action,a RMSE Action,b RMSE Action,RMSE_Action,R2_RMSE_Action,a 1-corr Action,b 1-corr Action,One_minus_corr_Action,R2_1-corr_Action,a SSE External,b SSE External,SSEExternal,R2_SSE_External,a RMSE External,b RMSE External,RMSE_External,R2_RMSE_External,a 1-corr External,b 1-corr External,One_minus_corr_External,R2_1-corr_External
0,2,4,-10.0,0.0001,12.28116274773112,418.9394034696506,900471.5182095661,0.11354311888008611,4.0,375.0,1.071543617745676,0.113543118880086,4.0,375.0,0.6630384014756489,0.113543118880086,1.2683125218315916,422.63495166994034,485741.7579146832,0.003510395806303359,4.0,375.0,1.3592348846725257,0.0035103958063033413,4.0,375.0,0.9407514067145613,0.0035103958063033413
1,2,4,-9.292857142857143,0.0001,11.03822949744599,425.816122901114,909245.0248203498,0.1049061601916368,4.0,375.0,1.0781543414741024,0.10490616019163695,4.0,375.0,0.676107795413911,0.10490616019163695,1.3710408574313093,421.9456829642044,485104.61465236713,0.004817482597642464,4.0,375.0,1.3564169615117738,0.004817482597642525,4.0,375.0,0.9305919125919571,0.004817482597642525
2,2,4,-8.585714285714285,0.0001,9.502190133385897,434.25809683120576,920532.9471693321,0.09379391928095972,4.0,375.0,1.087010343021953,0.09379391928095965,4.0,375.0,0.6937420706643506,0.09379391928095965,1.3979581714665792,421.6789001587112,484497.35363489203,0.0060632665638879835,4.0,375.0,1.354066257552489,0.006063266563887992,4.0,375.0,0.9221330200669886,0.006063266563887992
3,2,4,-7.878571428571428,0.0001,7.981134986066989,442.5350576919675,931779.0966030587,0.08272280115419685,4.0,375.0,1.0962947465209776,0.08272280115419695,4.0,375.0,0.7123842821503023,0.08272280115419695,1.3367192242066028,421.9233413306811,484122.1106581741,0.006833070102286372,4.0,375.0,1.35273181246126,0.006833070102286365,4.0,375.0,0.9173376137394621,0.006833070102286365
4,2,4,-7.171428571428571,0.0001,6.7284287011022705,449.2476013360528,940711.8021753414,0.07392912121616921,4.0,375.0,1.104061456218018,0.07392912121616903,4.0,375.0,0.7281008988316272,0.07392912121616903,1.2077269044545547,422.5821145039137,484099.640235942,0.006879167742158063,4.0,375.0,1.352654310617542,0.006879167742158065,4.0,375.0,0.9170592516180492,0.006879167742158065
5,2,4,-6.4642857142857135,0.0001,5.83887659140569,453.89727045447563,946315.1112488123,0.06841302017831502,4.0,375.0,1.1091416674109995,0.06841302017831491,4.0,375.0,0.7384411726239872,0.06841302017831491,1.048503788540627,423.45598673694263,484396.34670721856,0.006270480272460844,4.0,375.0,1.353699236141587,0.006270480272460736,4.0,375.0,0.9208136358173913,0.006270480272460736
6,2,4,-5.757142857142857,0.0001,5.295873374744691,456.6209212776169,948607.540655811,0.06615626936570047,4.0,375.0,1.1112720029369996,0.06615626936570036,4.0,375.0,0.7427913894021034,0.06615626936570036,0.8935630762730078,424.3539636899475,484873.03561122564,0.005292562445856404,4.0,375.0,1.355488740043374,0.005292562445856466,4.0,375.0,0.9272500003721205,0.005292562445856466
7,2,4,-5.05,0.0001,5.053702802082132,457.7256414651481,948046.7831865916,0.06670829939179755,4.0,375.0,1.1107479597300929,0.06670829939179734,4.0,375.0,0.7417205014102022,0.06670829939179734,0.765520633064778,425.1416084612883,485379.1713501796,0.004254234965846985,4.0,375.0,1.3575780659894052,0.004254234965846928,4.0,375.0,0.9347755033300607,0.004254234965846928
8,2,4,-4.3428571428571425,0.0001,5.078323608711057,457.45599679893115,945233.7437712025,0.06947755761172393,4.0,375.0,1.1081475663560947,0.06947755761172379,4.0,375.0,0.7364140413229039,0.06947755761172379,0.6784537651634075,425.7217925829519,485806.5760081107,0.0033774227694336714,4.0,375.0,1.359548779730691,0.0033774227694337022,4.0,375.0,0.9418844016684531,0.0033774227694337022
9,2,4,-3.6357142857142852,0.0001,5.369879566955447,455.865424103826,940856.9118246022,0.0737862700093993,4.0,375.0,1.1041908693651479,0.07378627000939925,4.0,375.0,0.7283637174282507,0.07378627000939925,0.64476078429383,426.00641764522425,486097.9674290874,0.002779639033529507,4.0,375.0,1.3610419997899212,0.002779639033529461,4.0,375.0,0.9472777178649343,0.002779639033529461
10,2,4,-2.928571428571428,0.0001,6.02527608091892,452.47539289295196,935311.209356774,0.07924566101777192,4.0,375.0,1.0993204875785871,0.07924566101777185,4.0,375.0,0.7184939414190668,0.07924566101777185,0.682327882166096,425.88770013050595,486239.237939403,0.002489825377402958,4.0,375.0,1.3618232497564535,0.002489825377402965,4.0,375.0,0.9501018499601142,0.002489825377402965
11,2,4,-2.2214285714285706,0.0001,7.390903588609194,445.4629650091702,927543.5608560452,0.08689241643870683,4.0,375.0,1.0927384328936347,0.0868924164387066,4.0,375.0,0.7052248035558171,0.0868924164387066,0.8171120583721898,425.2332975598614,486259.7749011468,0.002447694213939015,4.0,375.0,1.361940496208898,0.002447694213938996,4.0,375.0,0.9505258227563207,0.002447694213938996
12,2,4,-1.5142857142857142,0.0001,10.10810251446506,431.39023642427907,913945.9090628593,0.10027843893300369,4.0,375.0,1.081791277153824,0.10027843893300355,4.0,375.0,0.6833322894057501,0.10027843893300355,1.0272719950461948,424.18341973450185,486298.5128192514,0.0023682241392016462,4.0,375.0,1.3621644050162807,0.002368224139201622,4.0,375.0,0.9513355967959986,0.002368224139201622
