,ID,k,rAction,cAction,One_minus_corr_Action,R2_1-corr_Action,rExternal,cExternal,One_minus_corr_External,R2_1-corr_External
291,29,12,-1.7975376252439514,0.0,1.1590906527137432,0.025309835780884856,-4.165069373965081,0.0,0.9592714622825527,0.0016588137846015266
292,29,13,-1.7878173601714593,0.0,1.1573140832203856,0.024747720779470385,-4.286133700512115,0.0,0.952211095100434,0.0022837794314997635
293,29,14,-1.7814599028620008,0.0,1.1553407037371002,0.024130734237537504,-4.408845640008796,0.0,0.9456499691429995,0.0029539258541569123
294,30,1,-9.694582642326033,4.626598815997907e-06,1.012046525368328,0.00014511877344976915,-2.2406684489836963,0.0,1.0503471580199757,0.002534836320688402
295,30,2,-9.358657020807984,6.528641278964873e-06,1.0213984640131324,0.0004578942621213266,-2.475705846258303,0.0,1.064919538014948,0.004214546416074296
296,30,3,-9.283391991548113,7.770983068479338e-06,1.0255562093758328,0.0006531198376614099,-2.7542534707329067,0.0,1.0732498708814742,0.005365543584152649
297,30,4,-6.546151136068579,8.80493431507444e-05,1.0304901366612744,0.0009296484336231962,-3.208605893545846,0.0,1.0781089791133454,0.006101012618129027
298,30,5,-6.094968144109893,0.00011685541384476045,1.0307028612097975,0.0009426656864680874,-3.784460193988486,0.0,1.0805843836220075,0.006493842883738868
299,30,6,-9.369320101506256,7.672549663300438e-06,1.0248869584902276,0.0006193607028943162,-4.340176118122636,0.0,1.0812987081009886,0.0066094799388897365
300,30,7,-5.711320740395968,0.0001336755485458507,1.0277199326040565,0.0007683946635734306,-4.846776304777747,0.0,1.0806744769766512,0.00650837123545624
301,30,8,-9.171089768927803,7.436325025828221e-06,1.0206498323335327,0.00042641557540301346,-5.305867338888198,0.0,1.0790013983413107,0.0062412209398824475
302,30,9,-10.0,4.08635330801697e-06,1.0176468289383191,0.0003114105715782988,-5.711081899756295,0.0,1.0765036757878599,0.005852812409053966
303,30,10,-9.83567926339924,4.139637659907407e-06,1.0150751166131564,0.00022725914090026617,-6.049356485000345,0.0,1.0733675881669724,0.0053828029934384755
304,30,11,-6.754668531240362,4.074733791273997e-05,1.0154553226532723,0.0002388669983167511,-6.310893263764033,0.0,1.0697484867807054,0.004864851408198252
305,30,12,-7.008940746522965,3.032769363152342e-05,1.012510112606811,0.0001565029174350902,-6.472431892569752,0.0,1.0657732509210047,0.004326120536717452
306,30,13,-5.13605744091933,0.00011223754445148855,1.013608200351332,0.00018518311680199413,-6.619790916232668,0.0,1.0615449652118139,0.00378778274292338
307,30,14,-9.150317181681762,3.924108029644755e-06,1.0052419780710316,2.747833409717668e-05,-6.738111173908856,0.0,1.0571482425770757,0.003265921629648292
308,31,1,-4.56529282079906,0.0,1.2212161484923192,0.0489365843537758,-5.905351246312516,0.0021,1.0079242055269149,6.27930332327872e-05
309,31,2,-10.0,0.0,1.2247188277617331,0.05049855155060752,-6.069678730195549,0.0021,1.011831672856651,0.0001399884825868141
310,31,3,-10.0,0.0,1.2204695676962802,0.04860683028018469,-6.290006536251478,0.0021,1.013761108395502,0.00018936810427275954
311,31,4,-10.0,0.0,1.2132117299819694,0.0454592418019042,-6.538435351122569,0.0021,1.0146082301979884,0.0002134003895174227
312,31,5,-10.0,0.0,1.2049809832179752,0.04201720348100783,-6.829444241911636,0.0021,1.0147267047645692,0.0002168758332227815
313,31,6,-10.0,0.0,1.1967843471250026,0.03872407927341346,-10.0,0.0021,1.0133340800581239,0.00017779769099645587
314,31,7,-10.0,0.0,1.189124978024834,0.03576825731289395,-10.0,0.0021,1.0120627963114086,0.0001455110548505327
315,31,8,-10.0,0.0,1.1822372271813044,0.03321040697073033,-10.0,0.0021,1.0106122153797847,0.0001126191152669398
316,31,9,-10.0,0.0,1.1761957684864943,0.031044948832546316,-10.0,0.0021,1.0090115235605317,8.120755688201764e-05
317,31,10,-10.0,0.0,1.1709688757737429,0.02923035648333754,-10.0,0.0021,1.0072838571688632,5.3054575256398225e-05
318,31,11,-10.0,0.0,1.1664486750634353,0.02770516143037303,-10.0,0.0021,1.0054497012365637,2.969924356780538e-05
319,31,12,-6.928501536763351,0.0,1.1659121487157729,0.02752684109148476,-10.0,0.0021,1.003528367842352,1.2449379630944115e-05
320,31,13,-6.8114688146227085,0.0,1.1600996831348294,0.02563190853987274,-10.0,0.0021,1.0015384938620746,2.36696336364106e-06
321,31,14,-6.877165575954431,0.0,1.1545109269531988,0.023873626547936722,-10.0,0.0021,0.9994980494063448,2.5195439847086085e-07
322,33,1,-9.168694413500193,0.0021,1.0461477997574231,0.0021296194224512165,-10.0,5.112166962830457e-05,1.2259083920776592,0.05103460161111338
323,33,2,-10.0,0.0021,1.0460050379222996,0.002116463514232221,-10.0,4.36446575933203e-05,1.229592010044439,0.0527124910762458
324,33,3,-10.0,0.0021,1.046848863996951,0.0021948160578048126,-9.45771244653056,4.9361291530258454e-05,1.2235403790428023,0.049970301062599726
325,33,4,-10.0,0.0,1.0536138713949965,0.002874447205959221,-9.331360767513587,4.301146951289754e-05,1.2123114316041192,0.04507614398979065
326,33,5,-10.0,0.0,1.0490732853835252,0.0024081873383329155,-10.0,2.3924876913616354e-05,1.1974476464445263,0.03898557308648263
327,33,6,-10.0,0.0,1.0456214375163295,0.0020813155610563587,-10.0,2.0268636339689546e-05,1.1822750255853838,0.03322418495215229
328,33,7,-10.0,0.0,1.0431442018764194,0.0018614221555532345,-5.941914212730243,0.0005577736313924688,1.185504181058287,0.03441180119010565
329,33,8,-10.0,0.0,1.0415497396310827,0.001726380863410753,-9.320582456970051,2.2511347192069716e-05,1.1524629016516506,0.023244936380040878
330,33,9,-10.0,0.0,1.040760208682507,0.0016613946118415174,-6.963066612839264,0.00017314490115775928,1.148329921548328,0.02200176562653313
331,33,10,-10.0,0.0,1.0406986684180868,0.001656381611005367,-6.445267256513922,0.0002398186730497988,1.1393275720568894,0.019412172335267697
332,33,11,-10.0,0.0,1.0412764794695049,0.0017037477573964611,-9.26278789515415,1.4312899255214964e-05,1.1111460492675767,0.012353444267790555
333,33,12,-10.0,0.0,1.0423848052720541,0.0017964717179499415,-10.0,8.06426787856711e-06,1.0980448553934887,0.009612793669130105
334,33,13,-10.0,0.0,1.0438933866009898,0.0019266293873039465,-9.563969502659754,8.698038325579157e-06,1.087971454592339,0.007738976823091965
