ID,foreperiod,logFP,expFP,condition,orientation,prevOri,seqOri,oneBackFP,twoBackFP,oneBackFPDiff,prevFPLonger,block,counterbalance,testPos,meanRT,meanLogRT,meanRTzscore,meanInvRT,meanSeqEff,meanITITotal,numForeperiod,numOneBackFP,numOneBackFPDiff,numLogFP,squaredNumForeperiod,squaredNumOneBackFPDiff,squaredNumLogFP,scaledNumForeperiod,squaredScaledNumForeperiod,scaledNumOneBackFP,scaledNumOneBackFPDiff,squaredScaledNumOneBackFPDiff
002,1,0,0.36787944117144233,external,left,left,same,1,2.2,0,0,0,external-action,1,0.4167,-0.380176499542722,-0.5820685171231003,2.3998080153587713,0.06590000000000001,2.033231428,1,1,0,0,1,0,0,-1.3531983759964428,1.83114584479941,-1.3399026363223194,-0.00878198953099116,7.712334012243832e-5
002,1,0,0.36787944117144233,external,left,left,same,1,2.2,0,0,1,external-action,1,0.5497,-0.25987426303426947,1.1938577094960479,1.8191740949608879,0.14899999999999997,1.783459738,1,1,0,0,1,0,0,-1.3531983759964428,1.83114584479941,-1.3399026363223194,-0.00878198953099116,7.712334012243832e-5
002,1,0,0.36787944117144233,external,left,left,same,1.6,2.2,-0.6,1,0,external-action,1,0.4124,-0.38468134338852106,-0.6394856808408625,2.4248302618816684,-0.08889999999999998,1.9645279310000001,1,1.6,-0.6,0,1,0.36,0,-1.3531983759964428,1.83114584479941,-0.44596927671495645,-0.6330300315718594,0.40072702087186934
002,1,0,0.36787944117144233,external,left,left,same,1.6,2.8,-0.6,1,1,external-action,1,0.6044,-0.2186755443330122,1.9242574433010673,1.6545334215751157,0.15440000000000004,2.051198804,1,1.6,-0.6,0,1,0.36,0,-1.3531983759964428,1.83114584479941,-0.44596927671495645,-0.6330300315718594,0.40072702087186934
002,1,0,0.36787944117144233,external,left,left,same,2.2,1.6,-1.2,1,0,external-action,1,0.4337,-0.3628105778512381,-0.3550704280063675,2.3057412958266084,-0.00480000000000002,1.498331219,1,2.2,-1.2,0,1,1.44,0,-1.3531983759964428,1.83114584479941,0.44796408289240636,-1.2572780736127276,1.5807481543873312
002,1,0,0.36787944117144233,external,left,left,same,2.8,1,-1.8,1,0,external-action,1,0.5181,-0.2855864077128788,0.7719083203143559,1.9301293186643504,0.01539999999999997,1.897358774,1,2.8,-1.8,0,1,3.24,0,-1.3531983759964428,1.83114584479941,1.3418974424997685,-1.8815261156535958,3.5401405238865085
002,1,0,0.36787944117144233,external,left,left,same,2.8,1,-1.8,1,1,external-action,1,0.4617,-0.33564012544885885,0.018808777597664156,2.1659085986571367,-0.09740000000000004,1.827057745,1,2.8,-1.8,0,1,3.24,0,-1.3531983759964428,1.83114584479941,1.3418974424997685,-1.8815261156535958,3.5401405238865085
002,1,0,0.36787944117144233,external,left,left,same,2.8,2.2,-1.8,1,1,external-action,1,0.4227,-0.3739677521709811,-0.5019515444936649,2.365744026496333,-0.03369999999999995,1.9034058710000001,1,2.8,-1.8,0,1,3.24,0,-1.3531983759964428,1.83114584479941,1.3418974424997685,-1.8815261156535958,3.5401405238865085
002,1,0,0.36787944117144233,external,left,left,same,2.8,2.8,-1.8,1,0,external-action,1,0.4618,-0.33554607141884246,0.020144060474821264,2.1654395842356,0.0826,2.171966717,1,2.8,-1.8,0,1,3.24,0,-1.3531983759964428,1.83114584479941,1.3418974424997685,-1.8815261156535958,3.5401405238865085
002,1,0,0.36787944117144233,external,left,right,different,1,2.8,0,0,1,external-action,1,0.4172,-0.3796557002455067,-0.575392102737314,2.396931927133269,-0.0605,2.278193582,1,1,0,0,1,0,0,-1.3531983759964428,1.83114584479941,-1.3399026363223194,-0.00878198953099116,7.712334012243832e-5
002,1,0,0.36787944117144233,external,left,right,different,1.6,2.2,-0.6,1,1,external-action,1,0.3998,-0.3981572102179019,-0.8077313233626766,2.5012506253126565,0.02649999999999996,2.249207802,1,1.6,-0.6,0,1,0.36,0,-1.3531983759964428,1.83114584479941,-0.44596927671495645,-0.6330300315718594,0.40072702087186934
002,1,0,0.36787944117144233,external,left,right,different,2.2,1,-1.2,1,0,external-action,1,0.3508,-0.4549404153059971,-1.4620199331697312,2.8506271379703536,-0.02450000000000002,2.359186447,1,2.2,-1.2,0,1,1.44,0,-1.3531983759964428,1.83114584479941,0.44796408289240636,-1.2572780736127276,1.5807481543873312
002,1,0,0.36787944117144233,external,left,right,different,2.2,1,-1.2,1,1,external-action,1,0.39564999999999995,-0.4028521933520689,-0.8631455627647029,2.529388599499301,0.029449999999999976,1.9379738279999998,1,2.2,-1.2,0,1,1.44,0,-1.3531983759964428,1.83114584479941,0.44796408289240636,-1.2572780736127276,1.5807481543873312
002,1,0,0.36787944117144233,external,left,right,different,2.2,1.6,-1.2,1,0,external-action,1,0.50125,-0.3001067056132105,0.5469131555133584,1.9964930230883415,0.06335,2.0164098665,1,2.2,-1.2,0,1,1.44,0,-1.3531983759964428,1.83114584479941,0.44796408289240636,-1.2572780736127276,1.5807481543873312
002,1,0,0.36787944117144233,external,left,right,different,2.2,2.2,-1.2,1,1,external-action,1,0.4007,-0.3971806575673002,-0.7957137774682612,2.495632642874969,0.06030000000000002,1.8872901759999998,1,2.2,-1.2,0,1,1.44,0,-1.3531983759964428,1.83114584479941,0.44796408289240636,-1.2572780736127276,1.5807481543873312
